name,salary,area_name,published_at
Broadcast encryption engineer,63568.8,Южная Корея,2003-01-31T18:24:11+0300
Embedded OS engineering manager,63568.8,Москва,2003-01-31T18:25:43+0300
Менеджер по продвижению программных продуктов,31380.1,Москва,2003-04-01T18:28:37+0400
Технический писатель,9414.029999999999,Москва,2003-04-01T18:35:22+0400
Бизнес-аналитик,37322.52,Москва,2003-05-14T16:18:16+0400
Специалист по оптимизации товарных запасов,49134.4,Москва,2003-06-11T19:11:29+0400
Сервис-менеджер,24567.2,Москва,2003-06-18T17:38:56+0400
Менеджер по закупкам,30709.0,Москва,2003-06-19T12:41:24+0400
Sales manager,30709.0,Москва,2003-06-19T14:37:30+0400
Менеджер по продажам телекоммуникационного оборудования,75952.25,Москва,2003-07-09T12:23:21+0400
"Консультант-разработчик (Developer 2000/6i (Forms, Reports)",30380.9,Москва,2003-07-16T18:31:53+0400
"БИЗНЕС АНАЛИТИК ИНФОРМАЦИОННЫХ СИСТЕМ, АРХИТЕКТОР БАЗ ДАННЫХ",30380.9,Москва,2003-07-17T11:25:13+0400
Системный администратор,24304.72,Москва,2003-07-17T15:47:04+0400
Продукт-менеджер по промышленным компьютерам,45571.35,Санкт-Петербург,2003-07-18T12:27:41+0400
Financial systems support specialist (IT Specialist),88104.61,Москва,2003-07-18T16:38:26+0400
Менеджер в отдел сувенирной продукции,15190.45,Москва,2003-07-18T18:59:15+0400
Sales Consultant,24304.72,Москва,2003-07-21T17:04:03+0400
Администратор  (OEBS),30380.9,Москва,2003-07-23T14:44:49+0400
Менеджер по продажам проектов,60761.8,Санкт-Петербург,2003-07-29T12:17:44+0400
Специалист по SAP R/3,60558.2,Москва,2003-08-14T17:40:03+0400
Специалист по поддержке банковских приложений,75697.75,Москва,2003-08-15T11:37:41+0400
Руководитель отдела маркетинга,75697.75,Москва,2003-08-15T13:05:04+0400
Sales Director,151395.5,Москва,2003-08-15T15:01:10+0400
Системный аналитик,45418.65,Москва,2003-08-15T18:20:06+0400
Business Application Specialist,43904.695,Москва,2003-08-18T10:15:10+0400
Database Developer/Business analyst,48446.56,Москва,2003-08-18T10:39:13+0400
Developer and Analyst,30279.1,Москва,2003-08-18T10:53:37+0400
Sales Manager,90837.3,Москва,2003-08-18T11:47:53+0400
Системный администратор,12111.64,Москва,2003-08-18T13:30:28+0400
Rational Product Technical Sales,90837.3,Москва,2003-08-18T15:15:55+0400
Product Manager,60558.2,Москва,2003-08-18T15:48:40+0400
ERP - consultant,54502.38,Москва,2003-08-18T17:35:51+0400
Программист,24223.28,Москва,2003-08-18T18:40:13+0400
SNA / IT - manager,39362.83,Москва,2003-08-18T18:44:42+0400
Сервис-инженер.,10597.685,Санкт-Петербург,2003-08-19T00:00:00+0400
Telecom Engineer,45418.65,Москва,2003-08-19T11:17:22+0400
Sales Engineer,60558.2,Москва,2003-08-19T13:40:44+0400
NET Программист,27251.19,Москва,2003-08-19T15:19:39+0400
Инженер-проектировщик,15139.55,Москва,2003-08-19T15:51:06+0400
Системный инженер,21195.37,Москва,2003-08-19T15:59:16+0400
Менеджер по продажам,24223.28,Москва,2003-08-19T16:04:44+0400
Системный администратор,9992.103,Санкт-Петербург,2003-08-19T17:13:18+0400
Программист,30279.1,Москва,2003-08-19T19:02:37+0400
INTERNET BANKING PRODUCT MANAGER,90837.3,Москва,2003-08-19T21:07:11+0400
Telecommunication Analyst,51474.47,Москва,2003-08-20T00:00:00+0400
Программист-разработчик на Access в крупную компьютерную компанию.,21195.37,Москва,2003-08-20T00:00:00+0400
Key Account Manager,75697.75,Москва,2003-08-20T00:00:00+0400
IT Specialist (Financial System Support),75697.75,Москва,2003-08-20T11:49:57+0400
"Консультант по внедрению SAP/R3 (FI, CO, MM)",75697.75,Москва,2003-08-20T14:59:12+0400
Менеджер по работе с партнерами (вендоры),36334.92,Москва,2003-08-20T15:59:10+0400
Sales and Marketing specialist,30279.1,Москва,2003-08-20T18:30:19+0400
Менеджер по продажам,45418.65,Москва,2003-08-20T18:35:00+0400
Сервис - инженер на выдачу,7569.775,Санкт-Петербург,2003-08-21T11:37:23+0400
Менеджер по закупкам (пассивное сетевое оборудование),30279.1,Москва,2003-08-21T21:51:34+0400
Программист 1С,39362.83,Москва,2003-08-22T00:00:00+0400
Ведущий инженер,18167.46,Москва,2003-08-22T12:48:20+0400
Тестер ПО,12111.64,Санкт-Петербург,2003-08-22T17:14:57+0400
Руководитель проекта по внедрению и сопровождению финансового модуля КИС,75697.75,Москва,2003-08-22T17:35:21+0400
Специалист по сопровождению SAP R/3,48446.56,Москва,2003-08-22T17:36:20+0400
Аккаунт-менеджер/руководитель проекта/помощник руководителя проекта,45418.65,Москва,2003-08-22T17:48:58+0400
Руководитель проектов в телекоммуникационную компанию,45418.65,Москва,2003-08-23T19:33:28+0400
Системный администратор,30279.1,Москва,2003-08-25T00:00:00+0400
Заместитель начальника отдела закупок,151395.5,Москва,2003-08-25T00:00:00+0400
Инженер-конструктор,15139.55,Санкт-Петербург,2003-08-25T00:00:00+0400
Программист Visual C++,15139.55,Санкт-Петербург,2003-08-25T00:00:00+0400
ПРОГРАММИСТ,24223.28,Москва,2003-08-25T11:14:43+0400
Ведущий специалист по работе с партнерами,36334.92,Москва,2003-08-25T12:17:56+0400
Ведущий специалист САПР,60558.2,Москва,2003-08-25T12:22:36+0400
Консультант по внедрению системы управления персоналом,30279.1,Москва,2003-08-25T12:24:49+0400
Ведущий специалист по продажам ПО (финансовые и аналитические системы),36334.92,Москва,2003-08-25T12:26:47+0400
Ведущий консультант по внедрению Oracle e-Business Suite (финансы),45418.65,Москва,2003-08-25T12:28:39+0400
Менеджер проекта по внедрению MBS Navision,45418.65,Москва,2003-08-25T12:30:16+0400
"Ведущий специалист, тренер по продуктам Microsoft Business Solutions – Navision и Axapta",45418.65,Москва,2003-08-25T12:31:33+0400
Проектировщик,39362.83,Москва,2003-08-25T13:39:34+0400
Sales-Manager Tekelec,121116.4,Москва,2003-08-25T14:35:37+0400
Менеджер по продажам,90837.3,Москва,2003-08-25T16:38:00+0400
Менеджер по маркетингу,24223.28,Москва,2003-08-25T17:13:53+0400
Product Manager (IP Services),75697.75,Москва,2003-08-25T18:53:43+0400
Администратор баз данных SAP R/3,60558.2,Москва,2003-08-26T00:00:00+0400
РАЗРАБОТЧИК WEB-ТЕХНОЛОГИЙ,39362.83,Москва,2003-08-26T00:00:00+0400
ИТ специалист (SAP R/3),90837.3,Москва,2003-08-26T00:00:00+0400
Sales manager,60558.2,Москва,2003-08-26T14:40:25+0400
РАЗРАБОТЧИК WEB-ТЕХНОЛОГИЙ,39362.83,Москва,2003-08-26T19:56:42+0400
Руководитель проектов,36334.92,Санкт-Петербург,2003-08-27T00:00:00+0400
Разработчик компиляторов,30279.1,Санкт-Петербург,2003-08-27T00:00:00+0400
Менеджер по маркетингу,21195.37,Санкт-Петербург,2003-08-27T00:00:00+0400
"Архитектор (VB, ASP)",21195.37,Санкт-Петербург,2003-08-27T00:00:00+0400
Руководитель проектов (системы автоматизации документооборота),18167.46,Москва,2003-08-27T09:45:08+0400
Специалист управления автоматизированных  систем коммерческого учета,30279.1,Москва,2003-08-27T09:49:05+0400
"Системный администратор на ПО (Rational ClearCase, ClearQuest)",24223.28,Москва,2003-08-27T09:50:47+0400
Консультант по внедрению ERP-систем,30279.1,Москва,2003-08-27T09:52:28+0400
Разработчик баз данных,18167.46,Санкт-Петербург,2003-08-27T10:03:28+0400
Network Administrator,36334.92,Москва,2003-08-27T11:09:35+0400
Сспециалист по трафику (Webmaster Sharing Program),21195.37,Москва,2003-08-27T17:59:02+0400
Аудитор,30279.1,Москва,2003-08-28T00:00:00+0400
Руководитель представительства,33640.0801,Челябинск,2003-08-28T00:00:00+0400
Инженер-проектировщик (проектирование систем охранно-пожарной сигнализации):,21195.37,Москва,2003-08-28T17:25:38+0400
Инженер-проектировщик (проектирование СКС),21195.37,Москва,2003-08-28T17:28:41+0400
Руководитель проектов,121116.4,Москва,2003-08-28T17:54:02+0400
Менеджер по продажам IT проектов,151395.5,Москва,2003-08-29T00:00:00+0400